Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C000,accepted,255,255,255,559,155,1,20.6155,1
C005,accepted,255,255,255,532,321,1,24.4131,1
C007,accepted,255,255,255,489,315,1,17.8045,1
C008,accepted,255,255,255,400,281,2,11.6619,1
C010,accepted,255,255,255,548,204,1,16.7631,1
C011,accepted,255,255,255,414,379,1,18.0278,1
C012,accepted,255,255,255,498,40,1,17.088,1
C013,accepted,255,255,255,505,225,1,18.3848,1
C014,accepted,255,255,255,474,83,1,16.6433,1
C015,accepted,255,255,255,509,87,1,18.3848,1
C016,accepted,255,255,255,436,329,1,15.8114,1
C017,accepted,255,255,255,509,43,1,17,1
C018,accepted,255,255,255,471,193,1,19.6469,1
C021,accepted,255,255,255,494,289,1,17.4642,1
C023,accepted,255,255,255,470,300,1,19.7231,1
C024,accepted,255,255,255,493,335,1,17.4929,1
C025,accepted,255,255,255,489,75,1,17.088,1
C027,accepted,255,255,255,547,253,1,17.4642,1
C029,accepted,255,255,255,487,326,1,20.1246,1
C031,accepted,255,255,255,537,89,1,21.1896,1
C032,accepted,255,255,255,423,358,1,21.0238,1
C034,accepted,255,255,255,457,124,1,16.4924,1
C035,accepted,255,255,255,545,165,1,17.4642,1
C040,accepted,255,255,255,497,112,1,16.2788,1
C041,accepted,255,255,255,552,278,1,22.4722,1
C043,accepted,255,255,255,509,213,1,19.7231,1
C045,accepted,255,255,255,518,99,1,16.2788,1
C046,accepted,255,255,255,505,260,1,17.4929,1
C047,accepted,255,255,255,508,193,1,16.5529,1
C049,accepted,255,255,255,494,299,1,17.0294,1
C050,accepted,255,255,255,513,57,1,20.6155,1
C051,accepted,255,255,255,537,208,1,17.72,1
C053,accepted,255,255,255,506,158,1,20.0998,1
C054,accepted,255,255,255,470,10,1,17.2047,1
C055,accepted,255,255,255,442,360,1,19.6469,1
C056,accepted,255,255,255,467,202,1,20,1
C057,accepted,255,255,255,562,281,1,20.6155,1
C058,accepted,255,255,255,443,308,2,16.6433,1
C059,accepted,255,255,255,452,3,3,18.2483,1
C062,accepted,255,255,255,558,227,1,19.105,1
C063,accepted,255,255,255,479,75,1,20,1
C068,accepted,255,255,255,509,311,1,19.7231,1
C069,accepted,255,255,255,497,276,1,19.7231,1
C072,accepted,255,255,255,532,291,1,19.4165,1
C073,accepted,255,255,255,547,227,1,18.2483,1
C075,accepted,255,255,255,528,234,1,19.4165,1
C078,accepted,255,255,255,346,307,1,15,1
C079,accepted,255,255,255,494,260,1,18.9737,1
C084,accepted,255,255,255,423,345,1,17.8045,1
C086,accepted,255,255,255,450,378,1,21.0238,1
C087,accepted,255,255,255,472,337,1,18.0278,1
C089,accepted,255,255,255,467,321,1,18.4391,1
C091,accepted,255,255,255,495,142,1,21.1896,1
C093,accepted,255,255,255,447,322,1,17.2047,1
C094,accepted,255,255,255,542,129,1,18.6011,1
C096,accepted,255,255,255,496,156,1,19.6469,1
C098,accepted,255,255,255,509,270,1,17.8885,1
C099,accepted,255,255,255,508,67,1,18.868,1
C101,accepted,255,255,255,519,274,1,16.6433,1
C103,accepted,255,255,255,575,189,1,19.2354,1
C106,accepted,255,255,255,542,308,1,16.4012,1
C109,accepted,255,255,255,537,136,1,19.2354,1
C110,accepted,255,255,255,579,120,1,19.7231,1
C114,accepted,255,255,255,480,339,1,20.2485,1
C119,accepted,255,255,255,520,179,1,18.2483,1
C122,accepted,255,255,255,534,305,1,20.1246,1
C123,accepted,255,255,255,530,353,1,22.8035,1
C124,accepted,255,255,255,524,305,1,22.3607,1
C133,accepted,255,255,255,400,214,3,13.0384,1
C135,accepted,255,255,255,496,384,1,22.4722,1
C136,accepted,255,255,255,510,78,1,17.2047,1
C140,accepted,255,255,255,542,188,1,21.3776,1
C142,accepted,255,255,255,473,374,1,24.5967,1
